Time,Voltage
0,990
5,986
11,982
16,977
21,977
27,976
32,973
38,971
44,972
50,970
55,968
60,968
66,969
71,967
77,965
82,965
88,966
94,964
99,963
105,966
110,964
116,961
121,963
131,962
140,961
149,961
158,959
167,961
178,958
187,959
196,959
205,958
215,960
224,955
233,957
243,956
252,956
262,958
271,955
280,957
289,956
299,956
309,956
318,954
327,957
336,955
346,957
355,957
364,956
374,959
384,955
393,957
402,957
411,957
420,960
430,957
440,960
449,959
458,959
467,960
477,960
486,963
495,962
505,963
515,963
524,962
533,965
542,963
551,966
561,966
571,966
580,968
589,967
599,969
608,968
617,968
626,970
636,970
646,972
655,971
664,972
673,972
683,971
692,973
702,973
711,975
720,975
730,974
739,975
748,974
757,976
766,975
777,975
786,976
795,975
804,977
814,976
823,976
832,976
842,975
851,976
861,975
870,977
879,976
888,975
898,976
908,974
917,975
926,974
935,974
945,974
954,972
963,974
973,972
983,972
992,971
1001,968
1011,970
1021,969
1032,968
1043,968
1053,968
1063,968
1074,968
1084,965
1094,965
1105,964
1116,961
1126,961
1136,961
1146,962
1157,961
1168,961
1178,961
1188,960
1199,959
1209,957
1219,957
1229,956
1241,957
1251,956
1261,957
1271,958
1282,957
1292,956
1303,955
1313,955
1324,954
1334,953
1344,954
1354,955
1364,956
1376,955
1386,957
1396,956
1406,955
1417,956
1427,956
1438,955
1448,957
1459,957
1469,958
1479,959
1489,961
1501,960
1511,960
1521,960
1531,960
1542,959
1552,961
1562,963
1573,963
1584,964
1594,965
1604,968
1614,966
1625,966
1636,966
1646,967
1656,968
1667,969
1677,970
1687,971
1697,972
1709,971
1719,973
1729,973
1739,971
1750,973
1760,974
1771,974
1781,975
1792,975
1802,975
1812,977
1822,978
1833,975
1844,974
1854,975
1864,976
1874,975
1885,976
1895,976
1906,977
1916,976
1927,976
1937,976
1947,975
1957,974
1969,973
1979,973
1989,974
1999,973
2010,972
2020,973
2030,973
2041,971
2052,969
2062,969
2072,968
2082,967
2093,967
2104,967
2114,968
2124,967
2135,966
2145,965
2155,964
2166,962
2177,961
2187,961
2197,961
2207,961
2217,960
2228,960
2239,961
2249,959
2259,957
2270,957
2280,957
2290,955
2301,955
2312,956
2322,957
2332,957
2342,956
2353,956
2363,955
2374,954
2384,954
2395,953
2405,955
2415,955
2425,955
2437,956
2447,957
2457,956
2467,955
2478,956
2488,956
2499,955
2509,956
2520,957
2530,959
2540,960
2550,961
2561,961
2572,961
2582,961
2592,960
2603,961
2613,962
2623,963
2634,964
2644,965
2655,967
2665,968
2675,966
2685,967
2696,967
2707,968
2717,969
2727,970
2738,971
2748,971
2758,971
2769,972
2780,974
2790,974
2800,971
2810,973
2821,975
2832,974
2842,974
2852,974
2863,975
2873,976
2883,976
2893,975
2905,974
2915,975
2925,974
2935,975
2946,975
2956,976
2967,975
2977,975
2988,975
2998,975
3008,973
3018,972
3028,972
3040,973
3050,971
3060,971
3070,971
3081,971
3091,971
3102,969
3112,968
3123,968
3133,966
3143,966
3153,966
3165,967
3175,965
3185,964
3195,965
3206,964
3216,961
3226,960
3237,960
3248,960
3258,959
3268,959
3278,960
3289,960
3300,958
3310,956
3320,956
3331,956
3341,955
3351,953
3361,954
3373,956
3383,955
3393,955
3403,956
3414,955
3424,954
3435,953
3445,953
3456,953
3466,953
3476,953
3486,955
3497,956
3508,956
3518,955
3528,955
3538,956
3549,955
3559,953
3570,956
3580,958
3591,959
3601,959
3611,961
3621,961
3633,961
3643,959
3653,960
3663,961
3674,962
3684,963
3694,964
3705,965
3716,966
3726,967
3736,967
3746,967
3757,967
3768,967
3778,968
3788,970
3799,971
3809,970
3819,972
3830,974
3841,974
3851,972
3861,972
3871,973
3881,974
3892,974
3903,974
3913,975
3923,976
3934,975
3944,976
3954,975
3965,974
3976,974
3986,974
3996,975
4006,975
4017,974
4027,974
4038,975
4048,975
4059,973
4069,972
4079,972
4089,972
4101,971
4111,971
4121,971
4131,971
4142,969
4152,970
4163,969
4173,968
4184,966
4194,965
4204,965
4214,966
4225,964
4236,964
4246,964
4256,964
4267,962
4277,960
4287,960
4298,960
4308,958
4319,957
4329,959
4339,960
4349,959
4360,957
4371,957
4381,956
4391,954
4402,953
4412,953
4422,955
4433,954
4444,955
4454,956
4464,956
4474,954
4485,953
4496,953
4506,953
4516,952
4527,952
4537,954
4547,956
4557,956
4569,955
4579,956
4589,955
4599,956
4610,955
4620,955
4631,958
4641,958
4652,958
4662,960
4672,962
4682,961
4692,960
4704,961
4714,961
4724,962
4734,962
4745,963
4755,965
4766,967
4776,966
4787,967
4797,968
4807,968
4817,966
4829,968
4839,970
4849,970
4859,971
4870,971
4880,973
4890,974
4901,973
4912,973
4922,972
4932,974
4942,973
4953,975
4964,976
4974,976
4984,975
4995,976
5005,977
5015,976
5025,973
5037,974
5047,975
5057,975
5067,976
5078,975
5088,975
5099,976
5109,975
5120,974
5130,973
5140,972
5150,972
5161,970
5172,971
5182,971
5192,970
5202,969
5213,970
5223,969
5234,967
5244,965
5255,965
5265,965
5275,965
5285,964
5297,964
5307,964
5317,963
5327,961
5338,961
5348,959
5358,958
5369,958
5380,958
5390,958
5400,958
5410,959
5421,957
5432,957
5442,956
5452,954
5463,954
5473,954
5483,954
5494,955
5505,955
5515,957
5525,955
5535,954
5545,954
5556,954
5567,954
5577,952
5587,954
5598,955
5608,957
5618,956
5629,957
5640,957
5650,957
5660,956
5670,957
5681,956
5691,958
5702,959
5712,960
5723,961
5733,962
5743,962
5753,962
5765,963
5775,963
5785,962
5795,964
5806,965
5816,967
5827,967
5837,968
5848,970
5858,970
5868,968
5878,968
5889,971
5900,971
5910,971
5920,972
5931,973
5941,974
5951,975
5962,976
5972,975
5983,973
5993,974
6003,974
6013,975
6024,976
6035,976
6045,975
6055,977
6066,978
6076,975
6086,974
6097,975
6108,975
6118,975
6128,974
6138,975
6149,975
6160,974
6170,975
6180,973
6191,973
6201,971
6211,971
6221,971
6233,971
6243,971
6253,971
6263,970
6274,971
6284,968
6295,967
6305,965
6316,965
6326,965
6336,965
6346,964
6356,964
6368,964
6378,963
6388,961
6398,961
6409,960
6419,958
6430,958
6440,959
6451,959
6461,958
6471,959
6481,958
6493,957
6503,956
6513,955
6523,955
6534,954
6544,955
6554,955
6565,956
6576,958
6586,956
6596,955
6606,955
6617,956
6628,954
6638,953
6648,956
6659,957
6669,957
6679,958
6689,959
6701,958
6711,958
6721,958
6731,959
6742,958
6752,960
6763,960
6773,962
6784,963
6794,963
6804,963
6814,964
6825,964
6836,964
6846,964
6856,966
6866,967
6877,968
6887,969
6898,970
6908,971
6919,971
6929,970
6939,970
6949,972
6961,972
6971,973
6981,974
6991,975
7002,975
7012,975
7022,977
7033,975
7044,974
7054,975
7064,976
7074,976
7085,976
7096,976
7106,977
7116,977
7127,977
7137,976
7147,974
7158,976
7169,975
7179,975
7189,975
7199,976
7209,975
7220,975
7231,975
7241,974
7251,972
7262,969
7272,970
7282,971
7293,970
7304,970
7314,970
7324,970
7334,969
7345,967
7355,966
7366,965
