Time,Voltage
0,0
5,0
10,3
16,3
21,4
26,6
32,8
37,8
43,10
49,11
54,10
60,13
65,15
70,16
76,16
81,18
87,19
93,19
98,20
104,22
109,21
114,22
120,24
125,24
132,24
137,25
143,27
148,26
153,26
159,28
164,28
171,27
176,29
182,29
190,29
198,30
207,29
216,30
224,32
232,32
240,33
248,35
257,34
265,34
274,34
282,34
290,33
299,33
307,33
315,33
323,34
331,35
340,36
349,36
357,38
365,36
373,36
381,36
390,35
398,35
407,35
415,35
423,35
432,35
440,36
448,37
456,37
464,38
474,37
482,37
490,36
498,36
506,35
515,35
523,35
531,35
540,36
548,36
557,37
565,38
573,38
581,37
589,36
598,35
607,35
615,35
623,34
631,34
640,35
648,36
656,36
664,37
673,38
681,36
690,36
698,35
706,35
714,35
722,35
731,34
740,33
748,35
756,36
764,36
773,37
781,37
789,37
797,36
806,36
815,36
823,35
831,35
839,34
847,34
856,35
864,36
873,37
881,38
889,38
898,37
906,37
914,36
922,36
930,36
940,35
948,35
956,36
964,36
972,37
980,38
989,38
997,38
1006,38
1015,37
1025,37
1034,39
1043,37
1052,39
1061,37
1072,38
1081,39
1090,38
1099,41
1108,36
1118,39
1127,39
1137,38
1146,40
1156,37
1165,40
1174,39
1183,39
1192,40
1202,38
1212,41
1221,38
1230,39
1240,40
1249,38
1258,42
1267,37
1277,39
1287,39
1296,39
1305,41
1314,38
1324,40
1333,39
1343,39
1352,40
1361,39
1371,41
1380,38
1389,39
1398,40
1409,38
1418,42
1427,37
1436,40
1445,39
1455,39
1464,40
1474,38
1483,39
1492,38
1502,38
1511,39
1520,38
1529,40
1540,37
1549,38
1558,38
1567,37
1576,40
1586,36
1595,38
1605,38
1614,37
1624,39
1633,37
1642,38
1651,37
1660,37
1671,38
1680,36
1689,38
1698,36
1708,37
1717,37
1726,37
1736,38
1745,35
1755,37
1764,37
1773,36
1782,38
1792,36
1801,38
1811,36
1820,37
1829,38
1839,36
1848,38
1857,36
1866,37
1876,38
1886,37
1895,39
1904,35
1913,37
1923,38
1932,37
1942,39
1951,37
1960,39
1970,37
1979,38
1988,38
1997,37
2008,39
2017,37
2026,38
2035,39
2044,38
2054,41
2063,36
2073,39
2082,39
2092,39
2101,40
2110,37
2119,40
2128,39
2139,39
2148,40
2157,39
2166,41
2176,38
2185,40
2194,40
2204,39
2213,43
2223,37
2232,41
2241,40
2250,40
2259,41
2270,39
2279,41
2288,40
2297,39
2307,41
2316,39
2325,41
2335,39
2344,40
2354,41
2363,39
2372,42
2381,37
2391,40
2400,40
2410,39
2419,41
2428,39
2438,40
2447,39
2456,39
2465,40
2476,38
2485,40
2494,38
2503,39
2512,39
2522,38
2531,41
2541,37
2550,39
2560,39
2569,38
2578,40
2587,36
2596,39
2607,38
2616,38
2625,39
2634,37
2643,39
2653,37
2662,38
2672,38
2681,37
2691,39
2700,36
2709,38
2718,37
2727,37
2738,39
2747,36
2756,38
2765,37
2775,37
2784,38
2793,36
2803,38
2812,36
