Time,Voltage_1,Voltage_5,Voltage_10
5,0,0,0
10,0,0,0
15,0,0,0
20,0,0,0
25,1,1,0
30,1,1,1
35,3,2,1
40,2,3,2
45,3,3,2
50,4,4,3
55,4,4,3
60,5,5,4
65,6,6,5
70,7,6,5
75,7,7,6
80,8,8,7
85,8,9,7
90,10,9,8
95,10,10,9
100,11,11,9
105,11,12,10
110,12,12,10
115,12,13,11
120,13,13,12
125,14,14,12
130,14,14,13
135,16,15,14
140,15,16,14
145,16,16,15
150,17,17,16
155,18,17,16
160,18,19,17
165,19,19,17
170,19,19,18
175,19,20,18
180,20,20,19
185,20,21,19
190,21,21,20
195,21,22,20
200,22,22,21
205,22,23,21
210,23,23,22
215,23,23,23
220,23,24,22
225,25,24,23
230,24,25,23
235,25,25,24
240,23,25,24
245,26,25,24
250,25,26,25
255,26,26,25
260,26,27,25
265,26,27,26
270,26,27,26
275,26,27,26
280,28,27,26
285,27,28,26
290,28,27,27
295,27,28,27
300,28,28,27
305,28,28,27
310,28,28,27
315,28,29,28
320,28,29,28
325,28,29,28
330,28,29,28
335,30,28,28
340,28,29,28
345,29,29,28
350,28,29,28
355,28,28,28
360,28,29,28
365,28,29,28
370,28,29,28
375,28,29,28
380,29,28,28
385,27,28,28
390,29,29,28
395,27,29,28
400,29,28,28
405,28,28,28
410,28,28,27
415,27,28,27
420,27,28,27
425,28,28,28
430,27,28,27
435,28,27,27
440,26,27,27
445,27,27,27
450,26,27,26
455,27,27,26
460,26,27,26
465,26,26,26
470,26,26,26
475,25,25,25
480,26,26,25
485,25,26,25
490,26,25,25
495,24,25,25
500,25,24,25
505,24,25,24
510,25,24,24
515,23,24,24
520,24,23,23
525,24,23,24
530,22,23,23
535,23,23,23
540,22,23,22
545,23,22,22
550,22,22,22
555,22,22,21
560,22,22,21
565,21,21,21
570,21,21,21
575,19,20,20
580,21,21,20
585,18,20,20
590,20,20,20
595,19,20,19
600,21,19,19
605,19,19,19
610,19,19,19
615,18,19,19
620,18,18,18
625,18,18,18
630,17,18,18
635,18,17,17
640,17,17,17
645,18,17,17
650,17,17,17
655,18,17,17
660,16,17,16
665,16,16,16
670,16,16,16
675,15,16,16
680,16,16,16
685,14,15,15
690,16,15,15
695,15,15,15
700,16,15,15
705,15,15,15
710,15,15,14
715,14,15,14
720,14,14,14
725,14,14,14
730,14,14,14
735,14,14,14
740,14,14,14
745,14,14,14
750,14,14,14
755,15,14,13
760,14,14,14
765,15,14,13
770,14,14,13
775,12,13,13
780,14,13,13
785,12,13,13
790,14,13,13
795,13,13,13
800,13,13,13
805,13,14,13
810,15,13,13
815,13,13,13
820,14,13,13
825,14,14,13
830,13,13,13
835,14,14,13
840,13,14,13
845,14,13,13
850,14,14,13
855,15,14,13
860,14,14,14
865,15,14,14
870,14,14,14
875,14,14,14
880,15,14,14
885,13,14,14
890,15,14,14
895,15,15,15
900,16,15,15
905,15,15,15
910,16,15,15
915,16,15,15
920,16,16,15
925,16,16,16
930,16,16,16
935,17,16,16
940,15,16,17
945,17,17,16
950,17,17,17
955,19,17,17
960,17,18,17
965,18,17,18
970,18,18,18
975,19,18,18
980,19,18,19
985,19,19,19
990,20,19,19
995,19,20,19
1000,20,20,20
1005,20,20,20
1010,21,20,20
1015,21,21,20
1020,21,21,21
1025,22,21,21
1030,21,22,21
1035,23,22,22
1040,22,22,22
1045,23,23,22
1050,22,23,23
1055,24,23,23
1060,23,24,23
1065,24,24,23
1070,24,24,24
1075,25,24,24
1080,25,25,25
1085,25,25,25
1090,26,25,25
1095,26,26,25
1100,28,26,26
1105,25,26,26
1110,27,27,27
1115,27,27,27
1120,28,27,27
1125,28,28,28
1130,28,28,28
1135,29,28,28
1140,29,29,28
1145,30,29,29
1150,28,29,29
1155,31,29,29
1160,29,30,29
1165,30,30,30
1170,30,30,30
1175,31,30,30
1180,31,31,30
1185,31,31,30
1190,31,32,31
1195,31,31,31
1200,33,31,31
1205,30,31,31
1210,32,31,31
1215,31,32,31
1220,32,32,32
1225,32,33,32
1230,32,33,32
1235,33,32,32
1240,32,32,32
1245,34,33,33
