Time,Voltage
0,92
5,184
11,276
16,368
21,459
27,550
32,642
38,733
44,824
50,915
55,914
61,913
66,912
71,912
77,911
82,911
89,911
94,911
100,911
105,910
111,910
116,910
122,910
131,910
140,910
149,910
158,910
168,910
178,910
187,909
196,909
205,909
215,909
224,909
234,909
243,909
252,909
262,909
271,909
280,909
289,909
300,909
309,909
318,909
327,909
336,909
346,909
355,909
365,909
374,909
384,909
393,909
402,909
411,909
420,909
430,909
440,909
449,909
458,909
467,909
477,909
486,909
495,909
505,909
515,909
524,909
533,909
542,909
551,909
561,909
571,909
580,909
589,909
599,910
608,910
617,910
626,910
636,910
646,910
655,910
664,910
673,910
683,910
692,910
702,910
711,910
720,910
730,910
739,910
748,910
757,910
768,910
777,910
786,910
795,910
804,910
814,910
823,910
833,910
842,910
851,910
861,910
870,910
879,910
888,910
899,910
908,910
917,910
926,910
935,910
945,910
954,910
963,910
973,910
983,910
992,910
1001,910
1011,909
1021,909
1033,909
1043,909
1053,910
1063,910
1074,910
1084,910
1094,909
1105,909
1116,909
1126,909
1136,909
1146,909
1157,909
1168,909
1178,909
1188,909
1199,909
1209,909
1219,908
1230,908
1241,909
1251,909
1261,908
1271,908
1282,908
1292,908
1303,908
1313,908
1324,908
1334,908
1344,908
1354,908
1366,908
1376,908
1386,908
1396,908
1406,908
1417,909
1427,909
1438,909
1448,909
1459,909
1469,909
1479,909
1489,909
1501,909
1511,909
1521,909
1531,909
1542,909
1552,909
1563,909
1573,909
1584,909
1594,909
1604,909
1614,909
1625,909
1636,909
1646,909
1656,909
1667,909
1677,909
1687,909
1698,909
1709,909
1719,909
1729,909
1739,909
1750,910
1760,909
1771,909
1781,909
1792,910
1802,909
1812,909
1822,909
1833,910
1844,909
1854,909
1864,909
1874,910
1885,910
1896,910
1906,910
1916,910
1927,910
1937,910
1947,910
1957,910
1969,910
1979,909
1989,909
1999,909
2010,909
2020,909
2031,909
2041,909
2052,909
2062,909
2072,909
2082,909
2093,909
2104,909
2114,909
2124,909
2135,909
2145,909
2155,909
2166,909
2177,909
2187,909
2197,909
2207,909
2217,909
2229,909
2239,909
2249,909
2259,909
2270,909
2280,909
2290,909
2301,909
2312,909
2322,908
2332,909
2342,909
2353,909
2364,909
2374,909
2384,909
2395,909
2405,908
2415,909
2425,909
2437,909
2447,909
2457,909
2467,909
2478,909
2488,909
2499,909
2509,909
2520,909
2530,909
2540,909
2550,909
2561,909
2572,909
2582,909
2592,909
2603,909
2613,909
2623,909
2634,909
2644,909
2655,909
2665,909
2675,909
2685,909
2697,909
2707,909
2717,909
2727,909
2738,909
2748,909
2758,910
2769,910
2780,910
2790,910
2800,910
2810,910
2821,910
2832,910
2842,910
2852,910
2863,910
2873,910
2883,910
2894,910
