Time,Voltage
1001,901
1011,903
1021,905
1032,904
1043,902
1053,902
1063,904
1074,905
1084,900
1094,900
1105,901
1116,900
1126,898
1136,898
1146,900
1157,901
1168,898
1178,898
1188,899
1199,899
1209,895
1219,894
1229,896
1241,898
1251,895
1261,896
1271,899
1282,898
1292,895
1303,894
1313,895
1324,896
1334,892
1344,894
1354,896
1364,897
1376,895
1386,895
1396,897
1406,898
1417,895
1427,894
1438,895
1448,898
1459,898
1469,899
1479,901
1489,903
1501,902
1511,901
1521,902
1531,902
1542,901
1552,901
1562,902
1573,904
1584,904
1594,903
1604,906
1614,906
1625,904
1636,902
1646,904
1656,907
1667,906
1677,905
1687,906
1697,909
1709,908
1719,907
1729,907
1739,909
1750,909
1760,908
1771,910
1781,911
1792,911
1802,911
1812,912
1822,914
1833,913
1844,910
1854,911
1864,913
1874,912
1885,911
1895,911
1906,912
1916,912
1927,911
1937,909
1947,910
1957,909
1969,907
1979,908
1989,909
1999,909
2010,907
2020,907
2030,910
2041,907
2052,905
2062,904
2072,905
2082,905
2093,904
2104,904
2114,906
2124,906
2135,905
2145,903
2155,904
2166,904
2177,901
2187,900
2197,902
2207,903
2217,901
2228,900
2239,901
2249,901
2259,898
2270,898
2280,898
2290,898
2301,898
2312,897
2322,899
2332,901
2342,898
2353,897
2363,898
2374,898
2384,897
2395,896
2405,897
2415,899
2425,898
2437,898
2447,899
2457,899
2467,898
2478,897
2488,898
2499,899
2509,898
2520,899
2530,900
2540,902
2550,902
2561,900
2572,901
2582,902
2592,901
2603,900
2613,902
2623,904
2634,904
2644,904
2655,905
2665,908
2675,906
2685,905
2696,905
2707,907
2717,907
2727,906
2738,908
2748,910
2758,909
2769,909
2780,909
2790,910
2800,908
2810,908
2821,910
2832,911
2842,911
2852,910
2863,911
2873,912
2883,913
2893,910
2905,909
2915,911
2925,911
2935,910
2946,910
2956,912
2967,912
2977,910
2988,911
2998,911
